id,time,thumb,index_finger,index_knuckle,middle_finger,middle_knuckle,ring_finger,ring_knuckle,pinky_finger,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
140,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
141,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
142,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
143,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
144,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
145,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
146,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
147,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
148,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
149,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
150,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
151,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
152,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
153,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
154,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
155,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
156,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
157,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
158,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
159,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
160,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
161,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
162,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
163,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
164,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
165,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
166,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
167,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
168,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
169,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
170,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
171,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
172,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
173,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
174,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
175,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
176,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
177,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
178,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
179,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
180,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
181,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
182,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
183,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
184,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
185,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
186,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
187,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
188,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
189,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
190,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
191,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
192,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
193,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
194,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
195,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
196,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
197,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
198,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
199,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
200,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
201,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
202,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
203,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
204,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
205,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
206,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
207,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
208,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
209,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
210,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
211,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
212,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
213,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
214,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
215,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
216,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
217,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
218,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
219,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
220,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
221,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
222,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
223,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
224,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
225,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
226,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
227,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
228,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
229,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
230,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
231,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
232,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
233,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
234,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
235,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
236,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
237,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
238,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
239,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
240,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
241,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
242,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
243,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
244,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
245,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
246,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
247,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
248,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
249,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
250,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
251,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
252,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
253,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
254,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
255,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
256,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
257,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
258,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
259,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
260,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
261,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
262,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
263,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
264,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
265,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
266,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
267,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
268,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
269,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
270,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
271,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
272,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
273,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
274,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
275,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
276,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
277,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
278,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
279,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
280,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
281,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
282,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
283,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
284,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
285,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
286,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
287,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
288,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
289,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
290,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
291,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
292,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
293,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
294,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
295,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
296,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
297,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
